Trade Date, Owner, Player Received, Points Since Trade, Owner Two, Player Recevied, Points Since Trade
, , , , , Tyler O'Neill, 71
, , , , , , 
1652809910000, LeMahoe Round 2, Corbin Burnes, 308, Thanks Ohtani, Garrett Whitlock, 103
, , Pete Alonso, 258, , Wilmer Flores, 188
, , , , , Shohei Ohtani, 434
, , , , , , 
1651613496291, Trea's Gaze, Salvador Perez, 116, LeMahoe Round 2, Sean Murphy, 168
, , Mitch Haniger, 21, , Alec Bohm, 158
, , Eugenio Suarez, 162, , Randy Arozarena, 211
, , , , , , 
1651251506457, Trea's Gaze, Ian Anderson, 153, All about The Mets, Dany Jimenez, 65
, , Alec Bohm, 163, , Max Kepler, 141
, , , , , , 
1651019468824, Players to be Named Later, Frank Schwindel, 66, A Team of White Sox, Anthony Santander, 233
, , Jonathan Schoop, 108, , Carlos Santana, 162
, , , , , , 
1650917479017, A Team of White Sox, Elias Diaz, 93, Thanks Ohtani, Gregory Soto, 146
, , Ke'Bryan Hayes, 150, , Patrick Wisdom, 167
, , , , , , 
1650903143637, A Team of White Sox, Patrick Wisdom, 167, Bo's Biches, Javier Baez, 151
, , , , , , 
1650903015844, LeMahoe Round 2, Daniel Bard, 182, A Team of White Sox, Javier Baez, 151
, , , , , Frank Schwindel, 66
, , , , , , 
1650049321057, LeMahoe Round 2, John Means, 0, A Team of White Sox, Tyler O'Neill, 98
, , , , , , 
1650039692419, All about The Mets, Eric Lauer, 267, LeMahoe Round 2, Garrett Whitlock, 167
, , Miles Mikolas, 338, , , 
, , , , , , 
1650037521930, The Cavemen, Jesus Luzardo, 90, Thanks Ohtani, Randal Grichuk, 177
, , , , , Bailey Ober, 49
, , , , , , 
1649948307692, Trea's Gaze, Max Kepler, 174, A Team of White Sox, John Means, 0
, , Sean Murphy, 196, , , 
, , , , , , 
1649034656795, A Team of White Sox, Gregory Soto, 176, Handy Diaz Nuts, Juan Soto, 352
, , , , , , 
1649034370785, The Cavemen, Kenley Jansen, 264, All about The Mets, Corey Knebel, 138
, , , , , Ian Anderson, 169
, , , , , , 
1649034357971, Handy Diaz Nuts, Kolten Wong, 195, A Team of White Sox, Juan Soto, 352
, , Carlos Carrasco, 280, , Zach Plesac, 179
, , Gregory Soto, 176, , Joey Gallo, 83
, , , , , , 
1649033898308, Handy Diaz Nuts, Joey Gallo, 83, A Team of White Sox, Kolten Wong, 195
, , , , , , 
1649033893395, Handy Diaz Nuts, Zach Plesac, 179, A Team of White Sox, Carlos Carrasco, 280
, , , , , , 
1649033806904, Handy Diaz Nuts, Carlos Carrasco, 280, A Team of White Sox, Joey Gallo, 83
, , Kolten Wong, 195, , Zach Plesac, 179
, , , , , , 
1649033671502, Handy Diaz Nuts, Zach Plesac, 179, A Team of White Sox, Carlos Carrasco, 280
, , Joey Gallo, 83, , Kolten Wong, 195
, , , , , , 
1649033453005, All about The Mets, Yu Darvish, 377, Handy Diaz Nuts, Joe Musgrove, 366
, , , , , , 
1649033433902, A Team of White Sox, Joey Gallo, 83, Handy Diaz Nuts, Kolten Wong, 195
, , Zach Plesac, 179, , Carlos Carrasco, 280
, , , , , , 
1649005731252, A Team of White Sox, Max Kepler, 186, All about The Mets, Amed Rosario, 262
, , , , , , 
1648834920354, LeMahoe Round 2, Dylan Floro, 76, A Team of White Sox, Xander Bogaerts, 256
, , Julio Urias, 373, , Gregory Soto, 176
, , Nick Castellanos, 192, , Max Fried, 382
, , , , , AJ Pollock, 156
, , , , , , 
1648745349237, LeMahoe Round 2, Rafael Devers, 317, I Did  Half a Xan, Max Scherzer, 352
, , Anthony DeSclafani, 2, , Jesse Winker, 195
, , Javier Baez, 161, , Ozzie Albies, 139
, , Shohei Ohtani, 626, , Matt Olson, 291
, , , , , Tyler Mahle, 250
, , , , , , 
1648678783567, A Team of White Sox, Nick Castellanos, 192, The Cavemen, Jose Ramirez, 404
, , Julio Urias, 373, , Andrew Benintendi, 233
, , Jose Abreu, 294, , Ian Anderson, 169
, , , , , , 
1648678747697, A Team of White Sox, Kolten Wong, 195, I Did  Half a Xan, Fernando Tatis Jr., 0
, , Eloy Jimenez, 76, , , 
, , , , , , 
1648650088072, The Cavemen, Giancarlo Stanton, 193, A Team of White Sox, Adam Haseley, 6
, , Jose Abreu, 294, , Elieser Hernandez, 62
, , Josh Rojas, 192, , Josh Harrison, 143
, , Avisail Garcia, 89, , Jose Ramirez, 404
, , , , , , 
1648648973767, The Cavemen, Elieser Hernandez, 62, A Team of White Sox, Jose Abreu, 294
, , Jose Ramirez, 404, , Avisail Garcia, 89
, , Adam Haseley, 6, , Giancarlo Stanton, 193
, , Josh Harrison, 143, , Josh Rojas, 192
, , , , , , 
1648604536413, A Team of White Sox, Yoan Moncada, 85, LeMahoe Round 2, Wilmer Flores, 264
, , , , , Ryan Mountcastle, 196
, , , , , , 
